gene_id,gene_name
ENSG00000011009,LYPLA2
ENSG00000117308,GALE
ENSG00000117305,HMGCL
ENSG00000179163,FUCA1
ENSG00000188822,CNR2
ENSG00000189266,PNRC2
ENSG00000188529,SRSF10
ENSG00000185436,IFNLR1
ENSG00000001460,STPG1
ENSG00000001461,NIPAL3
ENSG00000286061,RCAN3AS
ENSG00000117602,RCAN3
ENSG00000133226,SRRM1
ENSG00000169504,CLIC4
ENSG00000020633,RUNX3
ENSG00000117614,SYF2
ENSG00000117616,RSRP1
ENSG00000187010,RHD
ENSG00000183726,TMEM50A
ENSG00000188672,RHCE
ENSG00000204178,MACO1
ENSG00000157978,LDLRAP1
ENSG00000225643,AL606491.1
ENSG00000117643,MAN1C1
ENSG00000162430,SELENON
ENSG00000117640,MTFR1L
ENSG00000127423,AUNIP
ENSG00000117632,STMN1
ENSG00000158006,PAFAH2
ENSG00000175087,PDIK1L
ENSG00000142684,ZNF593
ENSG00000130695,CEP85
ENSG00000142669,SH3BGRL3
ENSG00000158062,UBXN11
ENSG00000169442,CD52
ENSG00000176092,CRYBG2
ENSG00000117682,DHDDS
ENSG00000225891,AL513365.2
ENSG00000198830,HMGN2
ENSG00000117676,RPS6KA1
ENSG00000117713,ARID1A
ENSG00000060642,PIGV
ENSG00000204160,ZDHHC18
ENSG00000142751,GPN2
ENSG00000198746,GPATCH3
ENSG00000090273,NUDC
ENSG00000090020,SLC9A1
ENSG00000142784,WDTC1
ENSG00000186501,TMEM222
ENSG00000142765,SYTL1
ENSG00000142733,MAP3K6
ENSG00000158195,WASF2
ENSG00000126705,AHDC1
ENSG00000000938,FGR
ENSG00000126709,IFI6
ENSG00000009780,FAM76A
ENSG00000117758,STX12
ENSG00000117751,PPP1R8
ENSG00000130775,THEMIS2
ENSG00000117748,RPA2
ENSG00000130768,SMPDL3B
ENSG00000158156,XKR8
ENSG00000158161,EYA3
ENSG00000169403,PTAFR
ENSG00000126698,DNAJC8
ENSG00000130770,ATP5IF1
ENSG00000270605,AL353622.1
ENSG00000130766,SESN2
ENSG00000130772,MED18
ENSG00000204138,PHACTR4
ENSG00000180198,RCC1
ENSG00000242125,SNHG3
ENSG00000180098,TRNAU1AP
ENSG00000197989,SNHG12
ENSG00000120656,TAF12
ENSG00000270103,AL360012.1
ENSG00000162419,GMEB1
ENSG00000198492,YTHDF2
ENSG00000159023,EPB41
ENSG00000116350,SRSF4
ENSG00000116353,MECR
ENSG00000186056,MATN1-AS1
ENSG00000162511,LAPTM5
ENSG00000134644,PUM1
ENSG00000060688,SNRNP40
ENSG00000121766,ZCCHC17
ENSG00000229044,AL451070.1
ENSG00000284543,LINC01226
ENSG00000162517,PEF1
ENSG00000269967,AL136115.2
ENSG00000184007,PTP4A2
ENSG00000121774,KHDRBS1
ENSG00000203325,AL445248.1
ENSG00000121775,TMEM39B
ENSG00000025800,KPNA6
ENSG00000084652,TXLNA
ENSG00000160050,CCDC28B
ENSG00000160055,TMEM234
ENSG00000084623,EIF3I
ENSG00000182866,LCK
ENSG00000116478,HDAC1
ENSG00000175130,MARCKSL1
ENSG00000225828,FAM229A
ENSG00000160058,BSDC1
ENSG00000160062,ZBTB8A
ENSG00000176261,ZBTB8OS
ENSG00000162521,RBBP4
ENSG00000162520,SYNC
ENSG00000162522,KIAA1522
ENSG00000134684,YARS
ENSG00000116497,S100PBP
ENSG00000116514,RNF19B
ENSG00000236065,AL020995.1
ENSG00000004455,AK2
ENSG00000142920,AZIN2
ENSG00000116525,TRIM62
ENSG00000160094,ZNF362
ENSG00000225313,AL513327.1
ENSG00000134686,PHC2
ENSG00000163866,SMIM12
ENSG00000243749,TMEM35B
ENSG00000163867,ZMYM6
ENSG00000197056,ZMYM1
ENSG00000116560,SFPQ
ENSG00000146463,ZMYM4
ENSG00000142687,KIAA0319L
ENSG00000020129,NCDN
ENSG00000239636,AC004865.2
ENSG00000116819,TFAP2E
ENSG00000126067,PSMB2
ENSG00000092853,CLSPN
ENSG00000134698,AGO4
ENSG00000092847,AGO1
ENSG00000126070,AGO3
ENSG00000271554,AL138787.2
ENSG00000116863,ADPRHL2
ENSG00000054116,TRAPPC3
ENSG00000116871,MAP7D1
ENSG00000054118,THRAP3
ENSG00000214193,SH3D21
ENSG00000196182,STK40
ENSG00000181817,LSM10
ENSG00000116885,OSCP1
ENSG00000116898,MRPS15
ENSG00000119535,CSF3R
ENSG00000233621,LINC01137
ENSG00000163874,ZC3H12A
ENSG00000163875,MEAF6
ENSG00000163877,SNIP1
ENSG00000134697,GNL2
ENSG00000116922,C1orf109
ENSG00000134690,CDCA8
ENSG00000196449,YRDC
ENSG00000197982,C1orf122
ENSG00000188786,MTF1
ENSG00000204084,INPP5B
ENSG00000183431,SF3A3
ENSG00000183520,UTP11
ENSG00000116954,RRAGC
ENSG00000228436,AL139260.1
ENSG00000214114,MYCBP
ENSG00000174574,AKIRIN1
ENSG00000168653,NDUFS5
ENSG00000127603,MACF1
ENSG00000090621,PABPC4
ENSG00000084072,PPIE
ENSG00000284719,AL033527.4
ENSG00000043514,TRIT1
ENSG00000168389,MFSD2A
ENSG00000131236,CAP1
ENSG00000131238,PPT1
ENSG00000117000,RLF
ENSG00000084073,ZMPSTE24
ENSG00000049089,COL9A2
ENSG00000084070,SMAP2
ENSG00000187801,ZFP69B
ENSG00000187815,ZFP69
ENSG00000238287,AL603839.3
ENSG00000164002,EXO5
ENSG00000117010,ZNF684
ENSG00000117016,RIMS3
ENSG00000272145,NFYC-AS1
ENSG00000066136,NFYC
ENSG00000179862,CITED4
ENSG00000171793,CTPS1
ENSG00000281207,SLFNL1-AS1
ENSG00000010803,SCMH1
ENSG00000127124,HIVEP3
ENSG00000198815,FOXJ3
ENSG00000127125,PPCS
ENSG00000186409,CCDC30
ENSG00000171960,PPIH
ENSG00000285728,AC098484.4
ENSG00000065978,YBX1
ENSG00000117385,P3H1
ENSG00000164008,C1orf50
ENSG00000177868,SVBP
ENSG00000164010,ERMAP
ENSG00000117394,SLC2A1
ENSG00000227533,SLC2A1-AS1
ENSG00000117395,EBNA1BP2
ENSG00000117399,CDC20
ENSG00000066322,ELOVL1
ENSG00000159479,MED8
ENSG00000198198,SZT2
ENSG00000178922,HYI
ENSG00000066135,KDM4A
ENSG00000236200,KDM4A-AS1
ENSG00000126091,ST3GAL3
ENSG00000117408,IPO13
ENSG00000132768,DPH2
ENSG00000117410,ATP6V0B
ENSG00000117411,B4GALT2
ENSG00000196517,SLC6A9
ENSG00000178028,DMAP1
ENSG00000117419,ERI3
ENSG00000187147,RNF220
ENSG00000126106,TMEM53
ENSG00000198520,ARMH1
ENSG00000142945,KIF2C
ENSG00000225721,AL592166.1
ENSG00000142937,RPS8
ENSG00000173846,PLK3
ENSG00000222009,BTBD19
ENSG00000117425,PTCH2
ENSG00000070785,EIF2B3
ENSG00000126107,HECTD3
ENSG00000126088,UROD
ENSG00000162415,ZSWIM5
ENSG00000132781,MUTYH
ENSG00000132773,TOE1
ENSG00000070759,TESK2
ENSG00000132763,MMACHC
ENSG00000117450,PRDX1
ENSG00000117448,AKR1A1
ENSG00000132780,NASP
ENSG00000159592,GPBP1L1
ENSG00000159596,TMEM69
ENSG00000197429,IPP
ENSG00000086015,MAST2
ENSG00000117461,PIK3R3
ENSG00000085998,POMGNT1
ENSG00000085999,RAD54L
ENSG00000132128,LRRC41
ENSG00000173660,UQCRH
ENSG00000117481,NSUN4
ENSG00000117480,FAAH
ENSG00000079277,MKNK1
ENSG00000142961,MOB3C
ENSG00000123472,ATPAF1
ENSG00000159658,EFCAB14
ENSG00000162367,TAL1
ENSG00000123473,STIL
ENSG00000162368,CMPK1
ENSG00000225762,LINC01389
ENSG00000132122,SPATA6
ENSG00000186094,AGBL4
ENSG00000185104,FAF1
ENSG00000123080,CDKN2C
ENSG00000123091,RNF11
ENSG00000085832,EPS15
ENSG00000227070,AC104170.1
ENSG00000117859,OSBPL9
ENSG00000078618,NRDC
ENSG00000117862,TXNDC12
ENSG00000198841,KTI12
ENSG00000134717,BTF3L4
ENSG00000157077,ZFYVE9
ENSG00000154222,CC2D1B
ENSG00000085840,ORC1
ENSG00000134748,PRPF38A
ENSG00000134744,TUT4
ENSG00000116157,GPX7
ENSG00000182183,SHISAL2A
ENSG00000162377,COA7
ENSG00000162378,ZYG11B
ENSG00000121310,ECHDC2
ENSG00000116171,SCP2
ENSG00000157184,CPT2
ENSG00000162384,CZIB
ENSG00000162385,MAGOH
ENSG00000157193,LRP8
ENSG00000058804,NDC1
ENSG00000058799,YIPF1
ENSG00000081870,HSPB11
ENSG00000116212,LRRC42
ENSG00000116209,TMEM59
ENSG00000116205,TCEANC2
ENSG00000215883,CYB5RL
ENSG00000116221,MRPL37
ENSG00000157216,SSBP3
ENSG00000162390,ACOT11
ENSG00000243725,TTC4
ENSG00000006555,TTC22
ENSG00000162398,LEXM
ENSG00000162402,USP24
ENSG00000231090,MIR4422HG
ENSG00000173406,DAB1
ENSG00000162600,OMA1
ENSG00000162601,MYSM1
ENSG00000177606,JUN
ENSG00000234807,LINC01135
ENSG00000237352,LINC01358
ENSG00000172456,FGGY
ENSG00000134709,HOOK1
ENSG00000162599,NFIA
ENSG00000162604,TM2D1
ENSG00000132849,PATJ
ENSG00000162607,USP1
ENSG00000116641,DOCK7
ENSG00000125703,ATG4C
ENSG00000088035,ALG6
ENSG00000142856,ITGB3BP
ENSG00000203965,EFCAB7
ENSG00000116652,DLEU2L
ENSG00000079739,PGM1
ENSG00000185483,ROR1
ENSG00000158966,CACHD1
ENSG00000162437,RAVER2
ENSG00000162434,JAK1
ENSG00000162433,AK4
ENSG00000116675,DNAJC6
ENSG00000229294,AL139294.1
ENSG00000213625,LEPROT
ENSG00000116678,LEPR
ENSG00000184588,PDE4B
ENSG00000152760,TCTEX1D1
ENSG00000152763,WDR78
ENSG00000198160,MIER1
ENSG00000116704,SLC35D1
ENSG00000162594,IL23R
ENSG00000081985,IL12RB2
ENSG00000142864,SERBP1
ENSG00000116717,GADD45A
ENSG00000116729,WLS
ENSG00000024526,DEPDC1
ENSG00000033122,LRRC7
ENSG00000066557,LRRC40
ENSG00000116754,SRSF11
ENSG00000118454,ANKRD13C
ENSG00000116761,CTH
ENSG00000132485,ZRANB2
ENSG00000229956,ZRANB2-AS2
ENSG00000172260,NEGR1
ENSG00000286863,AL513166.1
ENSG00000254685,FPGT
ENSG00000116783,TNNI3K
ENSG00000116791,CRYZ
ENSG00000162623,TYW3
ENSG00000117054,ACADM
ENSG00000137955,RABGGTB
ENSG00000184005,ST6GALNAC3
ENSG00000142892,PIGK
ENSG00000154027,AK5
ENSG00000036549,AC118549.1
ENSG00000077254,USP33
ENSG00000180488,MIGA1
ENSG00000162614,NEXN
ENSG00000162613,FUBP1
ENSG00000162616,DNAJB4
ENSG00000137960,GIPC2
ENSG00000273338,AC103591.3
ENSG00000137959,IFI44L
ENSG00000137965,IFI44
ENSG00000230817,LINC01362
ENSG00000233008,LINC01725
ENSG00000137941,TTLL7
ENSG00000142875,PRKACB
ENSG00000117133,RPF1
ENSG00000174021,GNG5
ENSG00000122432,SPATA1
ENSG00000117151,CTBS
ENSG00000284882,AL359762.1
ENSG00000117155,SSX2IP
ENSG00000153898,MCOLN2
ENSG00000162643,WDR63
ENSG00000097096,SYDE2
ENSG00000162642,C1orf52
ENSG00000142867,BCL10
ENSG00000223653,AL078459.1
ENSG00000117174,ZNHIT6
ENSG00000171502,COL24A1
ENSG00000122417,ODF2L
ENSG00000097033,SH3GLB1
ENSG00000183291,SELENOF
ENSG00000153936,HS2ST1
ENSG00000143013,LMO4
ENSG00000237505,PKN2-AS1
ENSG00000065243,PKN2
ENSG00000137947,GTF2B
ENSG00000137944,KYAT3
ENSG00000213516,RBMXL1
ENSG00000117226,GBP3
ENSG00000117228,GBP1
ENSG00000162645,GBP2
ENSG00000162654,GBP4
ENSG00000154451,GBP5
ENSG00000286548,AL596214.1
ENSG00000197147,LRRC8B
ENSG00000231999,LRRC8C-DT
ENSG00000171488,LRRC8C
ENSG00000171492,LRRC8D
ENSG00000162664,ZNF326
ENSG00000122482,ZNF644
ENSG00000162669,HFM1
ENSG00000097046,CDC7
ENSG00000069702,TGFBR3
ENSG00000189195,BTBD8
ENSG00000174842,GLMN
ENSG00000122484,RPAP2
ENSG00000162676,GFI1
ENSG00000067208,EVI5
ENSG00000122406,RPL5
ENSG00000154511,DIPK1A
ENSG00000143033,MTF2
ENSG00000117500,TMED5
ENSG00000122483,CCDC18
ENSG00000223745,CCDC18-AS1
ENSG00000117505,DR1
ENSG00000137942,FNBP1L
ENSG00000137936,BCAR3
ENSG00000067334,DNTTIP2
ENSG00000023909,GCLM
ENSG00000117528,ABCD3
ENSG00000172339,ALG14
ENSG00000152078,TLCD4
ENSG00000226026,AC092802.1
ENSG00000122481,RWDD3
ENSG00000117569,PTBP2
ENSG00000188641,DPYD
ENSG00000232878,DPYD-AS1
ENSG00000156869,FRRS1
ENSG00000162688,AGL
ENSG00000117620,SLC35A3
ENSG00000156875,MFSD14A
ENSG00000241073,AC093019.2
ENSG00000156876,SASS6
ENSG00000122435,TRMT13
ENSG00000122477,LRRC39
ENSG00000137992,DBT
ENSG00000285530,AL445928.2
ENSG00000224616,RTCA-AS1
ENSG00000137996,RTCA
ENSG00000079335,CDC14A
ENSG00000228086,AL589990.1
ENSG00000162694,EXTL2
ENSG00000162695,SLC30A7
ENSG00000117543,DPH5
ENSG00000233184,AC093157.1
ENSG00000170989,S1PR1
ENSG00000185946,RNPC3
ENSG00000240038,AMY2B
ENSG00000162631,NTNG1
ENSG00000134215,VAV3
ENSG00000230489,VAV3-AS1
ENSG00000226822,LINC02785
ENSG00000085491,SLC25A24
ENSG00000162636,FAM102B
ENSG00000162639,HENMT1
ENSG00000134186,PRPF38B
ENSG00000116266,STXBP3
ENSG00000162641,AKNAD1
ENSG00000121957,GPSM2
ENSG00000121940,CLCC1
ENSG00000085433,WDR47
ENSG00000197780,TAF13
ENSG00000215717,TMEM167B
ENSG00000270066,AL356488.2
ENSG00000116299,KIAA1324
ENSG00000031698,SARS
ENSG00000134243,SORT1
ENSG00000143106,PSMA5
ENSG00000162650,ATXN7L2
ENSG00000174151,CYB561D1
ENSG00000065135,GNAI3
ENSG00000116337,AMPD2
ENSG00000213366,GSTM2
ENSG00000134202,GSTM3
ENSG00000184371,CSF1
ENSG00000168710,AHCYL1
ENSG00000143093,STRIP1
ENSG00000116396,KCNC4
ENSG00000227963,RBM15-AS1
ENSG00000162775,RBM15
ENSG00000224699,LAMTOR5-AS1
ENSG00000168679,SLC16A4
ENSG00000273373,AL355488.1
ENSG00000134248,LAMTOR5
ENSG00000259834,AL365361.1
ENSG00000177272,KCNA3
ENSG00000143119,CD53
ENSG00000121931,LRIF1
ENSG00000156171,DRAM2
ENSG00000134255,CEPT1
ENSG00000273221,AL355816.2
ENSG00000162777,DENND2D
ENSG00000064886,CHI3L2
ENSG00000116455,WDR77
ENSG00000116459,ATP5PB
ENSG00000143110,C1orf162
ENSG00000116473,RAP1A
ENSG00000197852,INKA2
ENSG00000064703,DDX20
ENSG00000143079,CTTNBP2NL
ENSG00000134245,WNT2B
ENSG00000007341,ST7L
ENSG00000116489,CAPZA1
ENSG00000155363,MOV10
ENSG00000155366,RHOC
ENSG00000155380,SLC16A1
ENSG00000226419,SLC16A1-AS1
ENSG00000238198,LRIG2-DT
ENSG00000198799,LRIG2
ENSG00000081026,MAGI3
ENSG00000116793,PHTF1
ENSG00000081019,RSBN1
ENSG00000231128,AL137856.1
ENSG00000134242,PTPN22
ENSG00000226167,AP4B1-AS1
ENSG00000134262,AP4B1
ENSG00000118655,DCLRE1B
ENSG00000235527,HIPK1-AS1
ENSG00000163349,HIPK1
ENSG00000197323,TRIM33
ENSG00000116752,BCAS2
ENSG00000175984,DENND2C
ENSG00000213281,NRAS
ENSG00000009307,CSDE1
ENSG00000052723,SIKE1
ENSG00000134198,TSPAN2
ENSG00000173218,VANGL1
ENSG00000163393,SLC22A15
ENSG00000163399,ATP1A1
ENSG00000203865,ATP1A1-AS1
ENSG00000233154,LINC01762
ENSG00000224950,AL390066.1
ENSG00000116815,CD58
ENSG00000116824,CD2
ENSG00000134256,CD101
ENSG00000116830,TTF2
ENSG00000198162,MAN1A2
ENSG00000183508,TENT5C
ENSG00000196505,GDAP2
ENSG00000065183,WDR3
ENSG00000155761,SPAG17
ENSG00000116874,WARS2
ENSG00000231365,WARS2-AS1
ENSG00000227712,AL359915.1
ENSG00000143067,ZNF697
ENSG00000092621,PHGDH
ENSG00000134250,NOTCH2
ENSG00000265808,SEC22B
ENSG00000273136,NBPF26
ENSG00000287979,AC253572.2
ENSG00000226067,LINC00623
ENSG00000171943,SRGAP2C
ENSG00000227082,LINC02798
ENSG00000263590,LINC02591
ENSG00000266338,NBPF15
ENSG00000196369,SRGAP2B
ENSG00000276216,AC245014.3
ENSG00000162825,NBPF20
ENSG00000117262,GPR89A
ENSG00000117281,CD160
ENSG00000265491,RNF115
ENSG00000186141,POLR3C
ENSG00000131788,PIAS3
ENSG00000131779,PEX11B
ENSG00000265241,RBM8A
ENSG00000234222,LIX1L-AS1
ENSG00000271601,LIX1L
ENSG00000121851,POLR3GL
ENSG00000265972,TXNIP
ENSG00000287190,AC239799.2
ENSG00000271425,NBPF10
ENSG00000264343,NOTCH2NLA
ENSG00000287978,AC245407.2
ENSG00000268043,NBPF12
ENSG00000131791,PRKAB2
ENSG00000237188,AC242426.2
ENSG00000131781,FMO5
ENSG00000131778,CHD1L
ENSG00000278811,LINC00624
ENSG00000116128,BCL9
ENSG00000162836,ACP6
ENSG00000188092,GPR89B
ENSG00000263956,NBPF11
ENSG00000274020,LINC01138
ENSG00000270629,NBPF14
ENSG00000178104,PDE4DIP
ENSG00000269713,NBPF9
ENSG00000274265,AC245297.3
ENSG00000286219,NOTCH2NLC
ENSG00000271383,NBPF19
ENSG00000275557,AC242842.1
ENSG00000203814,HIST2H2BF
ENSG00000272196,HIST2H2AA4
ENSG00000270276,HIST2H4B
ENSG00000184678,HIST2H2BE
ENSG00000184260,HIST2H2AC
ENSG00000184270,HIST2H2AB
ENSG00000178096,BOLA1
ENSG00000159164,SV2A
ENSG00000143368,SF3B4
ENSG00000014914,MTMR11
ENSG00000264522,OTUD7B
ENSG00000285184,AC244033.2
ENSG00000136631,VPS45
ENSG00000023902,PLEKHO1
ENSG00000285554,AC242988.2
ENSG00000143401,ANP32E
ENSG00000117362,APH1A
ENSG00000118292,C1orf54
ENSG00000266472,MRPS21
ENSG00000117360,PRPF3
ENSG00000163125,RPRD2
ENSG00000143374,TARS2
ENSG00000237781,AL356356.1
ENSG00000143382,ADAMTSL4
ENSG00000203804,ADAMTSL4-AS1
ENSG00000143384,MCL1
ENSG00000143420,ENSA
ENSG00000143457,GOLPH3L
ENSG00000143452,HORMAD1
ENSG00000163131,CTSS
ENSG00000143387,CTSK
ENSG00000143437,ARNT
ENSG00000143379,SETDB1
ENSG00000143418,CERS2
ENSG00000143409,MINDY1
ENSG00000143363,PRUNE1
ENSG00000143443,C1orf56
ENSG00000197622,CDC42SE1
ENSG00000213190,MLLT11
ENSG00000143458,GABPB2
ENSG00000143434,SEMA6C
ENSG00000163156,SCNM1
ENSG00000163159,VPS72
ENSG00000143398,PIP5K1A
ENSG00000159352,PSMD4
ENSG00000143373,ZNF687
ENSG00000143393,PI4KB
ENSG00000143390,RFX5
ENSG00000143416,SELENBP1
ENSG00000159377,PSMB4
ENSG00000143442,POGZ
ENSG00000143376,SNX27
ENSG00000143436,MRPL9
ENSG00000182134,TDRKH
ENSG00000234614,C2CD4D-AS1
ENSG00000159445,THEM4
ENSG00000197747,S100A10
ENSG00000229021,AL450992.1
ENSG00000163191,S100A11
ENSG00000237975,FLG-AS1
ENSG00000163220,S100A9
ENSG00000143546,S100A8
ENSG00000197956,S100A6
ENSG00000196154,S100A4
ENSG00000189171,S100A13
ENSG00000272030,AL162258.2
ENSG00000160679,CHTOP
ENSG00000143553,SNAPIN
ENSG00000143621,ILF2
ENSG00000143624,INTS3
ENSG00000143554,SLC27A3
ENSG00000143614,GATAD2B
ENSG00000284738,AL358472.5
ENSG00000198837,DENND4B
ENSG00000160741,CRTC2
ENSG00000143570,SLC39A1
ENSG00000143578,CREB3L4
ENSG00000143543,JTB
ENSG00000177954,RPS27
ENSG00000143552,NUP210L
ENSG00000143549,TPM3
ENSG00000143612,C1orf43
ENSG00000143569,UBAP2L
ENSG00000143575,HAX1
ENSG00000143515,ATP8B2
ENSG00000160712,IL6R
ENSG00000160714,UBE2Q1
ENSG00000160710,ADAR
ENSG00000143603,KCNN3
ENSG00000163344,PMVK
ENSG00000163346,PBXIP1
ENSG00000163348,PYGO2
ENSG00000160691,SHC1
ENSG00000173207,CKS1B
ENSG00000160688,FLAD1
ENSG00000160685,ZBTB7B
ENSG00000143537,ADAM15
ENSG00000169241,SLC50A1
ENSG00000179085,DPM3
ENSG00000163463,KRTCAP2
ENSG00000163462,TRIM46
ENSG00000185499,MUC1
ENSG00000169231,THBS3
ENSG00000173171,MTX1
ENSG00000177628,GBA
ENSG00000160767,FAM189B
ENSG00000116521,SCAMP3
ENSG00000176444,CLK2
ENSG00000143627,PKLR
ENSG00000160752,FDPS
ENSG00000160753,RUSC1
ENSG00000116539,ASH1L
ENSG00000235919,ASH1L-AS1
ENSG00000125459,MSTO1
ENSG00000287839,AL353807.5
ENSG00000163374,YY1AP1
ENSG00000132676,DAP3
ENSG00000116580,GON4L
ENSG00000132718,SYT11
ENSG00000143622,RIT1
ENSG00000132680,KHDC4
ENSG00000116584,ARHGEF2
ENSG00000163479,SSR2
ENSG00000160803,UBQLN4
ENSG00000116586,LAMTOR2
ENSG00000160789,LMNA
ENSG00000196189,SEMA4A
ENSG00000160785,SLC25A44
ENSG00000160783,PMF1
ENSG00000198952,SMG5
ENSG00000163472,TMEM79
ENSG00000163468,CCT3
ENSG00000125462,C1orf61
ENSG00000116604,MEF2D
ENSG00000183856,IQGAP3
ENSG00000160818,GPATCH4
ENSG00000143319,ISG20L2
ENSG00000143303,RRNAD1
ENSG00000143314,MRPL24
ENSG00000143321,HDGF
ENSG00000143294,PRCC
